Actual value of e^3 = 20.085536923187664
term		maclourin		error
1			4.000			16.086
2			8.500			11.586
3			13.000			7.086
4			16.375			3.711
5			18.400			1.686
6			19.412			0.673
7			19.846			0.239
8			20.009			0.076
9			20.063			0.022
10			20.080			0.006

Actual value of e^5 = 148.41315910257657
term		maclourin		error
1			6.000			142.413
2			18.500			129.913
3			39.333			109.080
4			65.375			83.038
5			91.417			56.996
6			113.118			35.295
7			128.619			19.794
8			138.307			10.106

Actual value of e^5 = 148.41315910257657
term		maclourin		error
1			6.000			142.413
2			18.500			129.913
3			39.333			109.080
4			65.375			83.038
5			91.417			56.996
6			113.118			35.295
7			128.619			19.794
8			138.307			10.106
9			143.689			4.724
10			146.381			2.033
11			147.604			0.809
12			148.114			0.300

Actual value of e^7 = 1096.6331584284583
term		maclourin		error
1			8.000			1088.633
2			32.500			1064.133
3			89.667			1006.966
4			189.708			906.925

Actual value of e^4 = 54.59815003314423
term		maclourin		error
1			5.000			49.598
2			13.000			41.598
3			23.667			30.931
4			34.333			20.265
5			42.867			11.731
6			48.556			6.043
7			51.806			2.792
8			53.432			1.166

